"#","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","5","74HC237DCT-ND","74HC237D","IC 3:8 LINE DECODER 16SOIC","","0","0.62000","3.10"
"2","5","296-26468-1-ND","SN74HC148DR","IC PRIORITY ENCODER 8-3L 16-SOIC","","0","0.68000","3.40"
"3","2","568-8366-5-ND","PCA9685PW,112","IC LED DRVR LIN DIM 25MA 28TSSOP","","0","3.43000","6.86"
"4","3","ATMEGA328PB-AN-ND","ATMEGA328PB-AN","IC MCU 8BIT 32KB FLASH 32TQFP","","0","2.14000","6.42"
"5","2","497-13931-1-ND","L3GD20HTR","IC MEMS MOTION SENSOR 16LLGA","","0","5.19000","10.38"
"6","2","497-16262-1-ND","LIS3DETR","ACCEL 2-16G I2C/SPI 16LGA","","0","2.06000","4.12"
"7","5","1016-1848-1-ND","SPX1117M3-L-3-3/TR","IC REG LINEAR 3.3V 800MA SOT223","","0","0.74000","3.70"
"8","10","1016-1849-1-ND","SPX1117M3-L-5-0/TR","IC REG LINEAR 5V 800MA SOT223","","0","0.57900","5.79"
"9","10","NC7SZ157P6XCT-ND","NC7SZ157P6X","IC MUX UHS NONINVERT 2INP SC70-6","","0","0.54000","5.40"
"10","10","RR12P300DCT-ND","RR1220P-301-D","RES SMD 300 OHM 0.5% 1/10W 0805","","0","0.14900","1.49"
"11","30","RR12P10.0KDCT-ND","RR1220P-103-D","RES SMD 10K OHM 0.5% 1/10W 0805","","0","0.14900","4.47"
"12","10","160-1423-1-ND","LTST-C171GKT","LED GREEN CLEAR CHIP SMD","","0","0.30100","3.01"
"13","10","BSS138CT-ND","BSS138","MOSFET N-CH 50V 220MA SOT-23","","0","0.41600","4.16"
"14","5","ATTINY4313-SU-ND","ATTINY4313-SU","IC MCU 8BIT 4KB FLASH 20SOIC","","0","1.47000","7.35"
"15","1","SMDLTLFP-ND","SMDLTLFP","SOLDER PASTE LOW TEMP 5CC W/TIP","","0","22.72000","22.72"
"16","10","1276-2402-1-ND","CL21A106KPCLQNC","CAP CER 10UF 10V X5R 0805","","0","0.22400","2.24"
"17","10","S1131EC-40-ND","PRPC040SACN-RC","CONN HEADER .100"" SNGL STR 40POS","","0","1.14100","11.41"
"18","1","1528-1155-ND","759","JUMPER WIRE M/M 40X3"" 75MM","","0","5.63000","5.63"
"19","18","478-7800-1-ND","SD0805S020S1R0","DIODE SCHOTTKY 20V 1A 0805","","0","0.47100","8.48"
"20","10","RNCP0805FTD200RCT-ND","RNCP0805FTD200R","RES 200 OHM 1% 1/4W 0805","","0","0.05600","0.56"
"21","10","311-30ARCT-ND","RC0805JR-0730RL","RES SMD 30 OHM 5% 1/8W 0805","","0","0.05500","0.55"
"22","18","NTJD4001NT1GOSCT-ND","NTJD4001NT1G","MOSFET 2N-CH 30V 0.25A SOT-363","","0","0.64800","11.66"
"23","100","1276-2444-1-ND","CL21B104KBCNFNC","CAP CER 0.1UF 50V X7R 0805","","0","0.03720","3.72"
"24","10","399-1160-1-ND","C0805C103M5RACTU","CAP CER 10000PF 50V X7R 0805","","0","0.13700","1.37"
"25","1","243-1003-ND","18517","TWEEZER POINTED FINE 2C 4.53""","","0","3.14000","3.14"